REQUEST,MOMENT,TIMESTAMP
PUT,BEGIN,1512596254643200199
PUT,END,1512596254652553758
PUT,BEGIN,1512596255855979994
PUT,END,1512596255882092780
PUT,BEGIN,1512596257083922403
PUT,END,1512596257094818067
PUT,BEGIN,1512596258297790808
PUT,END,1512596258320325973
PUT,BEGIN,1512596259523403874
PUT,END,1512596259539450051
PUT,BEGIN,1512596260741803186
PUT,END,1512596260756412559
PUT,BEGIN,1512596261958198221
PUT,END,1512596261970223501
PUT,BEGIN,1512596263171553204
PUT,END,1512596263180882727
PUT,BEGIN,1512596264383407993
PUT,END,1512596264399322107
PUT,BEGIN,1512596265600775940
PUT,END,1512596265610738934
PUT,BEGIN,1512596266813260941
PUT,END,1512596266830180310
PUT,BEGIN,1512596268032876223
PUT,END,1512596268048055072
PUT,BEGIN,1512596269250838371
PUT,END,1512596269269978309
PUT,BEGIN,1512596270473333967
PUT,END,1512596270493661542
PUT,BEGIN,1512596271696825280
PUT,END,1512596271717293803
PUT,BEGIN,1512596272919964639
PUT,END,1512596272937079318
PUT,BEGIN,1512596274138666745
PUT,END,1512596274148573953
PUT,BEGIN,1512596275351509882
PUT,END,1512596275374827903
PUT,BEGIN,1512596276577414908
PUT,END,1512596276590568960
PUT,BEGIN,1512596277793287706
PUT,END,1512596277811748014
PUT,BEGIN,1512596279013994079
PUT,END,1512596279028013773
PUT,BEGIN,1512596280229203418
PUT,END,1512596280238481688
PUT,BEGIN,1512596281441563614
PUT,END,1512596281462471449
PUT,BEGIN,1512596282665484758
PUT,END,1512596282681223572
PUT,BEGIN,1512596283884030894
PUT,END,1512596283900994852
PUT,BEGIN,1512596285102907573
PUT,END,1512596285114039239
PUT,BEGIN,1512596286316654364
PUT,END,1512596286334434060
PUT,BEGIN,1512596287536702269
PUT,END,1512596287549524284
PUT,BEGIN,1512596288752232602
PUT,END,1512596288771366595
PUT,BEGIN,1512596289973366210
PUT,END,1512596289990441931
PUT,BEGIN,1512596291193265715
PUT,END,1512596291215698140
PUT,BEGIN,1512596292418634926
PUT,END,1512596292439790504
PUT,BEGIN,1512596293641452796
PUT,END,1512596293650888851
PUT,BEGIN,1512596294852047020
PUT,END,1512596294861264760
PUT,BEGIN,1512596296063351501
PUT,END,1512596296077995140
PUT,BEGIN,1512596297279634127
PUT,END,1512596297293853854
PUT,BEGIN,1512596298495446675
PUT,END,1512596298508226430
PUT,BEGIN,1512596299710664714
PUT,END,1512596299729244402
PUT,BEGIN,1512596300932396118
PUT,END,1512596300953889636
PUT,BEGIN,1512596302157184888
PUT,END,1512596302179902814
PUT,BEGIN,1512596303381532440
PUT,END,1512596303392392541
PUT,BEGIN,1512596304595455392
PUT,END,1512596304617191332
PUT,BEGIN,1512596305818985803
PUT,END,1512596305828162746
PUT,BEGIN,1512596307030016472
PUT,END,1512596307043670437
PUT,BEGIN,1512596308246531657
PUT,END,1512596308268823682
PUT,BEGIN,1512596309471939634
PUT,END,1512596309490971839
PUT,BEGIN,1512596310693404475
PUT,END,1512596310711780208
PUT,BEGIN,1512596311914535686
PUT,END,1512596311935453823
PUT,BEGIN,1512596313136962409
PUT,END,1512596313147051675
PUT,BEGIN,1512596314349942142
PUT,END,1512596314373284145
PUT,BEGIN,1512596315576418441
PUT,END,1512596315593268172
PUT,BEGIN,1512596316795904926
PUT,END,1512596316811529858
PUT,BEGIN,1512596318012861912
PUT,END,1512596318022102628
PUT,BEGIN,1512596319223255995
PUT,END,1512596319232990489
PUT,BEGIN,1512596320434700925
PUT,END,1512596320446470886
PUT,BEGIN,1512596321648104642
PUT,END,1512596321657474709
PUT,BEGIN,1512596322860243355
PUT,END,1512596322878126435
PUT,BEGIN,1512596324079633184
PUT,END,1512596324088859746
PUT,BEGIN,1512596325290046975
PUT,END,1512596325300174372
PUT,BEGIN,1512596326501587567
PUT,END,1512596326517741373
PUT,BEGIN,1512596327720468241
PUT,END,1512596327739140022
PUT,BEGIN,1512596328941666102
PUT,END,1512596328956790534
PUT,BEGIN,1512596330158331939
PUT,END,1512596330169644899
PUT,BEGIN,1512596331370840884
PUT,END,1512596331380078381
PUT,BEGIN,1512596332582811833
PUT,END,1512596332605595882
PUT,BEGIN,1512596333807509354
PUT,END,1512596333816950793
PUT,BEGIN,1512596335018147819
PUT,END,1512596335027430402
PUT,BEGIN,1512596336228948952
PUT,END,1512596336239337297
PUT,BEGIN,1512596337441201908
PUT,END,1512596337454400257
PUT,BEGIN,1512596338656239730
PUT,END,1512596338667780644
PUT,BEGIN,1512596339869607791
PUT,END,1512596339882451625
PUT,BEGIN,1512596341083764466
PUT,END,1512596341093120265
PUT,BEGIN,1512596342295478500
PUT,END,1512596342311131742
PUT,BEGIN,1512596343513806695
PUT,END,1512596343532306827
PUT,BEGIN,1512596344733947741
PUT,END,1512596344749486433
PUT,BEGIN,1512596345952213784
PUT,END,1512596345972028656
PUT,BEGIN,1512596347175404817
PUT,END,1512596347198215238
PUT,BEGIN,1512596348401586896
