REQUEST,MOMENT,TIMESTAMP
PUT,BEGIN,1512599778103410628
PUT,END,1512599778119314576
PUT,BEGIN,1512599779320792604
PUT,END,1512599779331503866
PUT,BEGIN,1512599780532925401
PUT,END,1512599780542354994
PUT,BEGIN,1512599781744997523
PUT,END,1512599781763130079
PUT,BEGIN,1512599782965156538
PUT,END,1512599782977023229
PUT,BEGIN,1512599784178956948
PUT,END,1512599784194574930
PUT,BEGIN,1512599785397366765
PUT,END,1512599785416709570
PUT,BEGIN,1512599786620300471
PUT,END,1512599786644659823
PUT,BEGIN,1512599787848353288
PUT,END,1512599787871808683
PUT,BEGIN,1512599789075728003
PUT,END,1512599789098728293
PUT,BEGIN,1512599790302076532
PUT,END,1512599790321119658
PUT,BEGIN,1512599791523156236
PUT,END,1512599791534388443
PUT,BEGIN,1512599792737029895
PUT,END,1512599792755266702
PUT,BEGIN,1512599793958400382
PUT,END,1512599793979891927
PUT,BEGIN,1512599795183508149
PUT,END,1512599795205357693
PUT,BEGIN,1512599796409047955
PUT,END,1512599796430004237
PUT,BEGIN,1512599797632340768
PUT,END,1512599797650233553
PUT,BEGIN,1512599798852462798
PUT,END,1512599798865136605
PUT,BEGIN,1512599800067867024
PUT,END,1512599800087270478
PUT,BEGIN,1512599801288495059
PUT,END,1512599801298222205
PUT,BEGIN,1512599802500209646
PUT,END,1512599802514661326
PUT,BEGIN,1512599803717346146
PUT,END,1512599803735432847
PUT,BEGIN,1512599804938178392
PUT,END,1512599804955153444
PUT,BEGIN,1512599806158054080
PUT,END,1512599806171643862
PUT,BEGIN,1512599807374363248
PUT,END,1512599807393136844
PUT,BEGIN,1512599808596381834
PUT,END,1512599808613927757
PUT,BEGIN,1512599809815689352
PUT,END,1512599809825564984
PUT,BEGIN,1512599811027587900
PUT,END,1512599811037861208
PUT,BEGIN,1512599812239412471
PUT,END,1512599812250974961
PUT,BEGIN,1512599813453799252
PUT,END,1512599813475173368
PUT,BEGIN,1512599814677210748
PUT,END,1512599814687533740
PUT,BEGIN,1512599815889246010
PUT,END,1512599815902109891
PUT,BEGIN,1512599817104029260
PUT,END,1512599817117068305
PUT,BEGIN,1512599818318405137
PUT,END,1512599818327648495
PUT,BEGIN,1512599819529277090
PUT,END,1512599819539472110
PUT,BEGIN,1512599820740952438
PUT,END,1512599820751879806
PUT,BEGIN,1512599821953063172
PUT,END,1512599821962451366
PUT,BEGIN,1512599823163962000
PUT,END,1512599823173478158
PUT,BEGIN,1512599824374659962
PUT,END,1512599824383987052
PUT,BEGIN,1512599825585434922
PUT,END,1512599825596627131
PUT,BEGIN,1512599826798576580
PUT,END,1512599826812764537
PUT,BEGIN,1512599828013979209
PUT,END,1512599828023295110
PUT,BEGIN,1512599829224555961
PUT,END,1512599829235062019
PUT,BEGIN,1512599830436668457
PUT,END,1512599830446218801
PUT,BEGIN,1512599831648000225
PUT,END,1512599831660888040
PUT,BEGIN,1512599832862693154
PUT,END,1512599832875803096
PUT,BEGIN,1512599834077121894
PUT,END,1512599834086474715
PUT,BEGIN,1512599835288232035
PUT,END,1512599835301513085
PUT,BEGIN,1512599836504463755
PUT,END,1512599836525513094
PUT,BEGIN,1512599837727425852
PUT,END,1512599837737050577
PUT,BEGIN,1512599838940220360
PUT,END,1512599838962538369
PUT,BEGIN,1512599840164692856
PUT,END,1512599840173955364
PUT,BEGIN,1512599841375206580
PUT,END,1512599841385014900
PUT,BEGIN,1512599842586251250
PUT,END,1512599842595771417
PUT,BEGIN,1512599843797184174
PUT,END,1512599843808067660
PUT,BEGIN,1512599845010936060
PUT,END,1512599845030781602
PUT,BEGIN,1512599846232694264
PUT,END,1512599846244270123
PUT,BEGIN,1512599847446769222
PUT,END,1512599847464195597
PUT,BEGIN,1512599848665411762
PUT,END,1512599848674673817
PUT,BEGIN,1512599849877529387
PUT,END,1512599849896866998
PUT,BEGIN,1512599851098376475
PUT,END,1512599851109604637
PUT,BEGIN,1512599852312607594
PUT,END,1512599852333561380
PUT,BEGIN,1512599853536095626
PUT,END,1512599853554373845
PUT,BEGIN,1512599854756213369
PUT,END,1512599854767629910
PUT,BEGIN,1512599855969892488
PUT,END,1512599855982720042
PUT,BEGIN,1512599857185350720
PUT,END,1512599857203560125
PUT,BEGIN,1512599858405315451
PUT,END,1512599858414530304
PUT,BEGIN,1512599859616340715
PUT,END,1512599859629437385
PUT,BEGIN,1512599860830763152
PUT,END,1512599860843278210
PUT,BEGIN,1512599862044487023
PUT,END,1512599862055859907
PUT,BEGIN,1512599863257126826
PUT,END,1512599863266332788
PUT,BEGIN,1512599864469157306
PUT,END,1512599864490765717
PUT,BEGIN,1512599865692448072
PUT,END,1512599865701605932
PUT,BEGIN,1512599866903076954
PUT,END,1512599866915257958
PUT,BEGIN,1512599868116454382
PUT,END,1512599868125707974
PUT,BEGIN,1512599869327094152
PUT,END,1512599869336380730
PUT,BEGIN,1512599870537582672
PUT,END,1512599870546899963
PUT,BEGIN,1512599871748079730
PUT,END,1512599871757442925
PUT,BEGIN,1512599872960358350
PUT,END,1512599872981636040
PUT,BEGIN,1512599874184895546
PUT,END,1512599874200691736
PUT,BEGIN,1512599875402376007
PUT,END,1512599875413714438
PUT,BEGIN,1512599876616052154
PUT,END,1512599876630370539
PUT,BEGIN,1512599877833191082
PUT,END,1512599877850319007
PUT,BEGIN,1512599879053369613
PUT,END,1512599879074788375
PUT,BEGIN,1512599880277190678
PUT,END,1512599880294568217
PUT,BEGIN,1512599881497749085
PUT,END,1512599881519594796
PUT,BEGIN,1512599882722921528
PUT,END,1512599882740376563
PUT,BEGIN,1512599883941964225
PUT,END,1512599883953362763
PUT,BEGIN,1512599885156272313
PUT,END,1512599885175353608
PUT,BEGIN,1512599886378388781
PUT,END,1512599886396669457
PUT,BEGIN,1512599887598491444
PUT,END,1512599887612124532
PUT,BEGIN,1512599888813982299
PUT,END,1512599888824994505
PUT,BEGIN,1512599890026996616
PUT,END,1512599890039599203
PUT,BEGIN,1512599891242460288
PUT,END,1512599891262294695
PUT,BEGIN,1512599892464036909
PUT,END,1512599892473521851
PUT,BEGIN,1512599893674682236
PUT,END,1512599893684537008
PUT,BEGIN,1512599894886963617
PUT,END,1512599894905531531
PUT,BEGIN,1512599896107010073
PUT,END,1512599896116511787
PUT,BEGIN,1512599897319117651
PUT,END,1512599897334710382
PUT,BEGIN,1512599898537384152
PUT,END,1512599898554826376
PUT,BEGIN,1512599899758161532
PUT,END,1512599899778917238
PUT,BEGIN,1512599900981045630
PUT,END,1512599900990905934
PUT,BEGIN,1512599902192279812
PUT,END,1512599902202683214
PUT,BEGIN,1512599903404174111
PUT,END,1512599903415841017
PUT,BEGIN,1512599904617307782
PUT,END,1512599904633527936
PUT,BEGIN,1512599905834687824
PUT,END,1512599905843888100
PUT,BEGIN,1512599907045076846
PUT,END,1512599907054569569
PUT,BEGIN,1512599908257306544
PUT,END,1512599908276031145
PUT,BEGIN,1512599909478939457
PUT,END,1512599909495325516
PUT,BEGIN,1512599910696742148
PUT,END,1512599910707652082
PUT,BEGIN,1512599911910570136
PUT,END,1512599911932379691
PUT,BEGIN,1512599913135890650
PUT,END,1512599913157439481
PUT,BEGIN,1512599914359304543
PUT,END,1512599914369130600
PUT,BEGIN,1512599915570748326
PUT,END,1512599915582649987
PUT,BEGIN,1512599916784508790
PUT,END,1512599916798203682
PUT,BEGIN,1512599918001247296
PUT,END,1512599918020447340
PUT,BEGIN,1512599919222524397
PUT,END,1512599919235646151
PUT,BEGIN,1512599920437910622
PUT,END,1512599920454070419
PUT,BEGIN,1512599921657133584
PUT,END,1512599921677207948
PUT,BEGIN,1512599922879253824
PUT,END,1512599922892091085
PUT,BEGIN,1512599924094704051
PUT,END,1512599924113674947
PUT,BEGIN,1512599925315391957
PUT,END,1512599925324774530
PUT,BEGIN,1512599926526016959
PUT,END,1512599926535329803
PUT,BEGIN,1512599927736572869
PUT,END,1512599927746231623
PUT,BEGIN,1512599928947711179
PUT,END,1512599928960645654
PUT,BEGIN,1512599930162040565
PUT,END,1512599930173431065
PUT,BEGIN,1512599931374873716
PUT,END,1512599931385286693
PUT,BEGIN,1512599932587622517
PUT,END,1512599932606250342
PUT,BEGIN,1512599933808287891
PUT,END,1512599933821132050
PUT,BEGIN,1512599935022542904
PUT,END,1512599935031776128
PUT,BEGIN,1512599936233551767
PUT,END,1512599936246914726
PUT,BEGIN,1512599937448197334
PUT,END,1512599937457453562
PUT,BEGIN,1512599938659424070
PUT,END,1512599938678096644
PUT,BEGIN,1512599939880045085
PUT,END,1512599939893500875
PUT,BEGIN,1512599941094827847
PUT,END,1512599941106068951
PUT,BEGIN,1512599942307294155
PUT,END,1512599942316780069
PUT,BEGIN,1512599943518944753
PUT,END,1512599943534222371
PUT,BEGIN,1512599944736924025
PUT,END,1512599944756156833
PUT,BEGIN,1512599945957758367
PUT,END,1512599945968219063
PUT,BEGIN,1512599947169553864
PUT,END,1512599947178824305
PUT,BEGIN,1512599948381582919
PUT,END,1512599948402055650
PUT,BEGIN,1512599949603594409
PUT,END,1512599949612826280
PUT,BEGIN,1512599950814101701
PUT,END,1512599950823687416
PUT,BEGIN,1512599952024887120
PUT,END,1512599952035858722
PUT,BEGIN,1512599953237112553
PUT,END,1512599953246277474
PUT,BEGIN,1512599954448156063
PUT,END,1512599954456971590
PUT,BEGIN,1512599955658656327
PUT,END,1512599955667202767
PUT,BEGIN,1512599956868385199
PUT,END,1512599956872268933
PUT,BEGIN,1512599958073609137
PUT,END,1512599958077488687
PUT,BEGIN,1512599959278695101
PUT,END,1512599959282534398
PUT,BEGIN,1512599960485458640
PUT,END,1512599960500685288
